file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,50,css,b6bd3730,Nimisha Mishra,2026-04-10,13:28:43,-07:00,2026-04-10T13:28:43-07:00,0,2
style.css,51,css,b6bd3730,Nimisha Mishra,2026-04-10,13:28:43,-07:00,2026-04-10T13:28:43-07:00,1,14
style.css,52,css,b6bd3730,Nimisha Mishra,2026-04-10,13:28:43,-07:00,2026-04-10T13:28:43-07:00,0,0
style.css,53,css,b6bd3730,Nimisha Mishra,2026-04-10,13:28:43,-07:00,2026-04-10T13:28:43-07:00,0,0
style.css,54,css,b6bd3730,Nimisha Mishra,2026-04-10,13:28:43,-07:00,2026-04-10T13:28:43-07:00,0,3
style.css,55,css,b6bd3730,Nimisha Mishra,2026-04-10,13:28:43,-07:00,2026-04-10T13:28:43-07:00,1,14
style.css,56,css,b6bd3730,Nimisha Mishra,2026-04-10,13:28:43,-07:00,2026-04-10T13:28:43-07:00,1,11
style.css,57,css,e5d37f14,Nimisha Mishra,2026-04-10,13:14:07,-07:00,2026-04-10T13:14:07-07:00,0,0
style.css,58,css,e5d37f14,Nimisha Mishra,2026-04-10,13:14:07,-07:00,2026-04-10T13:14:07-07:00,0,0
style.css,59,css,46a92887,Nimisha Mishra,2026-04-17,15:56:44,-07:00,2026-04-17T15:56:44-07:00,0,31
style.css,60,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,1,12
style.css,61,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,0,0
style.css,62,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,0,0
style.css,63,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,0,4
style.css,64,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,1,12
style.css,65,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,1,30
style.css,66,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,1,7
style.css,67,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,0,0
style.css,68,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,0,0
style.css,69,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,0,5
style.css,70,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,1,12
style.css,71,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,1,29
style.css,72,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,1,18
style.css,73,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,0,0
style.css,74,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,0,0
style.css,75,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,0,6
style.css,76,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,1,18
style.css,77,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,0,0
style.css,78,css,a6a7c339,Nimisha Mishra,2026-04-10,13:16:32,-07:00,2026-04-10T13:16:32-07:00,0,0
style.css,79,css,a822b626,Nimisha Mishra,2026-04-10,13:22:47,-07:00,2026-04-10T13:22:47-07:00,0,9
style.css,80,css,a822b626,Nimisha Mishra,2026-04-10,13:22:47,-07:00,2026-04-10T13:22:47-07:00,1,12
style.css,81,css,a822b626,Nimisha Mishra,2026-04-10,13:22:47,-07:00,2026-04-10T13:22:47-07:00,1,58
style.css,82,css,a822b626,Nimisha Mishra,2026-04-10,13:22:47,-07:00,2026-04-10T13:22:47-07:00,1,7
style.css,83,css,a822b626,Nimisha Mishra,2026-04-10,13:22:47,-07:00,2026-04-10T13:22:47-07:00,0,0
style.css,84,css,a822b626,Nimisha Mishra,2026-04-10,13:22:47,-07:00,2026-04-10T13:22:47-07:00,0,0
style.css,85,css,a822b626,Nimisha Mishra,2026-04-10,13:22:47,-07:00,2026-04-10T13:22:47-07:00,0,17
style.css,86,css,a822b626,Nimisha Mishra,2026-04-10,13:22:47,-07:00,2026-04-10T13:22:47-07:00,1,12
style.css,87,css,a822b626,Nimisha Mishra,2026-04-10,13:22:47,-07:00,2026-04-10T13:22:47-07:00,1,15
